Target_Row,Category,Type,Weight,Age_Group,Value,Source
84,CIN23 - Prev - 18,Prevalence,1,40_45,0.3135,experiments/parameters.xlsx
85,CIN23 - Prev - 18,Prevalence,1,45_50,0.2035,experiments/parameters.xlsx
86,CIN23 - Prev - 18,Prevalence,1,50_55,0.2354,experiments/parameters.xlsx
87,CIN23 - Prev - 18,Prevalence,1,55+,0.1573,experiments/parameters.xlsx
88,CIN23 - Prev - 18 - HIV,Prevalence,1,<25,0.6568,experiments/parameters.xlsx
89,CIN23 - Prev - 18 - HIV,Prevalence,1,25_30,1.028,experiments/parameters.xlsx
90,CIN23 - Prev - 18 - HIV,Prevalence,1,30_35,1.51965,experiments/parameters.xlsx
91,CIN23 - Prev - 18 - HIV,Prevalence,1,35_40,0.81279,experiments/parameters.xlsx
92,CIN23 - Prev - 18 - HIV,Prevalence,1,40_45,0.749,experiments/parameters.xlsx
93,CIN23 - Prev - 18 - HIV,Prevalence,1,45_50,1.1102,experiments/parameters.xlsx
94,CIN23 - Prev - 18 - HIV,Prevalence,1,50_55,0.9996,experiments/parameters.xlsx
95,CIN23 - Prev - 18 - HIV,Prevalence,1,55+,1.099,experiments/parameters.xlsx
96,Cancer Incidence,Incidence,5,15_30,10,experiments/parameters.xlsx
97,Cancer Incidence,Incidence,5,30_35,31.3,experiments/parameters.xlsx
98,Cancer Incidence,Incidence,5,35_40,70.85,experiments/parameters.xlsx
99,Cancer Incidence,Incidence,5,40_45,110.4,experiments/parameters.xlsx
100,Cancer Incidence,Incidence,5,45_50,127,experiments/parameters.xlsx
101,Cancer Incidence,Incidence,5,50_55,139,experiments/parameters.xlsx
102,Cancer Incidence,Incidence,5,55_60,147.8,experiments/parameters.xlsx
103,Cause of Cancer - 16,Percentage,5,All,0.4726,McDonald Paper
104,Cause of Cancer - 18,Percentage,5,All,0.2264,McDonald Paper
105,Cause of Cancer - HR,Percentage,5,All,0.3010,McDonald Paper
106,HIV Prevalence,Prevalence,1,15_25,4.5,Excel - HIV Prevalence Women
107,HIV Prevalence,Prevalence,1,15_50,14.5,Excel - HIV Prevalence Women
