Target_Row,State,Strain,HIV,Age,Target,Current,Round,Reason for Round #
25,HPV,HIGH_RISK,HIV,25_30,40.9,0.765174917491749,2,HPV: HR HIV after HR non-HIV
26,HPV,HIGH_RISK,HIV,30_35,38.4,0.7304130052724076,7,HPV: HR HIV after HR non-HIV
27,HPV,HIGH_RISK,HIV,35_40,43.4,2.122849515523037,12,HPV: HR HIV after HR non-HIV
28,HPV,HIGH_RISK,HIV,40_45,46.3,10.0,17,HPV: HR HIV after HR non-HIV
29,HPV,HIGH_RISK,HIV,45_50,26.8,0.5271922767497988,22,HPV: HR HIV after HR non-HIV
30,HPV,HIGH_RISK,HIV,50_55,28.7,0.593039069490009,27,HPV: HR HIV after HR non-HIV
31,HPV,HIGH_RISK,HIV,55+,26.8,0.5763714377559435,32,HPV: HR HIV after HR non-HIV
32,HPV,SIXTEEN,ALL,<25,17.0,1.1667342442495048,0,"HPV: HR, 16, 18 go together"
33,HPV,SIXTEEN,ALL,25_30,15.1,0.845489449676763,1,"HPV: HR, 16, 18 go together"
34,HPV,SIXTEEN,ALL,30_35,18.0,1.1230659467797917,6,"HPV: HR, 16, 18 go together"
35,HPV,SIXTEEN,ALL,35_40,14.0,0.7987175530638138,11,"HPV: HR, 16, 18 go together"
36,HPV,SIXTEEN,ALL,40_45,14.1,0.8510105715095792,16,"HPV: HR, 16, 18 go together"
37,HPV,SIXTEEN,ALL,45_50,10.6,0.6615300631677454,21,"HPV: HR, 16, 18 go together"
38,HPV,SIXTEEN,ALL,50_55,10.3,0.7257592524283782,26,"HPV: HR, 16, 18 go together"
39,HPV,SIXTEEN,ALL,55+,8.4,0.6524184476940383,31,"HPV: HR, 16, 18 go together"
40,HPV,EIGHTEEN,ALL,<25,8.0,1.3781978798586574,0,"HPV: HR, 16, 18 go together"
41,HPV,EIGHTEEN,ALL,25_30,9.7,0.42846083590658024,1,"HPV: HR, 16, 18 go together"
42,HPV,EIGHTEEN,ALL,30_35,9.9,0.8814175331489078,6,"HPV: HR, 16, 18 go together"
43,HPV,EIGHTEEN,ALL,35_40,8.4,0.7580768252353092,11,"HPV: HR, 16, 18 go together"
44,HPV,EIGHTEEN,ALL,40_45,6.3,0.5627876520112254,16,"HPV: HR, 16, 18 go together"
45,HPV,EIGHTEEN,ALL,45_50,6.7,0.576553880901707,21,"HPV: HR, 16, 18 go together"
46,HPV,EIGHTEEN,ALL,50_55,5.5,0.3590770108850748,26,"HPV: HR, 16, 18 go together"
47,HPV,EIGHTEEN,ALL,55+,8.4,0.5355559717799838,31,"HPV: HR, 16, 18 go together"
48,CIN23,HIGH_RISK,NORMAL,<25,1.55456,1.3930495662949196,2,"CIN23: HR, 16, 18 Normal go together"
49,CIN23,HIGH_RISK,NORMAL,25_30,1.48516,0.07683632265940465,3,"CIN23: HR, 16, 18 Normal go together"
50,CIN23,HIGH_RISK,NORMAL,30_35,2.4388,0.8697801047120419,8,"CIN23: HR, 16, 18 Normal go together"
51,CIN23,HIGH_RISK,NORMAL,35_40,1.8157,0.11292974054749483,13,"CIN23: HR, 16, 18 Normal go together"
52,CIN23,HIGH_RISK,NORMAL,40_45,1.2255,0.6064793388429752,18,"CIN23: HR, 16, 18 Normal go together"
53,CIN23,HIGH_RISK,NORMAL,45_50,0.7955,0.10770539620807,23,"CIN23: HR, 16, 18 Normal go together"
54,CIN23,HIGH_RISK,NORMAL,50_55,0.9202,0.6556487419832264,28,"CIN23: HR, 16, 18 Normal go together"
55,CIN23,HIGH_RISK,NORMAL,55+,0.6149,0.0786094012311136,33,"CIN23: HR, 16, 18 Normal go together"
56,CIN23,HIGH_RISK,HIV,<25,6.23139,1.3411574225703098,3,CIN23: HIV after non-HIV
57,CIN23,HIGH_RISK,HIV,25_30,9.75315,0.18540939357299774,4,CIN23: HIV after non-HIV
58,CIN23,HIGH_RISK,HIV,30_35,9.83935,0.35459821051743057,9,CIN23: HIV after non-HIV
59,CIN23,HIGH_RISK,HIV,35_40,5.26261,0.07550853992916715,14,CIN23: HIV after non-HIV
60,CIN23,HIGH_RISK,HIV,40_45,1.6585,0.04261473261584788,19,CIN23: HIV after non-HIV
61,CIN23,HIGH_RISK,HIV,45_50,2.4583,0.07168926599545307,24,CIN23: HIV after non-HIV
62,CIN23,HIGH_RISK,HIV,50_55,2.2134,0.06785020946153061,29,CIN23: HIV after non-HIV
63,CIN23,HIGH_RISK,HIV,55+,2.4335,0.07365623009456614,34,CIN23: HIV after non-HIV
64,CIN23,SIXTEEN,NORMAL,<25,0.46144,0.5516248223590716,2,"CIN23: HR, 16, 18 Normal go together"
65,CIN23,SIXTEEN,NORMAL,25_30,0.44084,0.062126710291493165,3,"CIN23: HR, 16, 18 Normal go together"
66,CIN23,SIXTEEN,NORMAL,30_35,0.8736,0.5675328841835098,8,"CIN23: HR, 16, 18 Normal go together"
67,CIN23,SIXTEEN,NORMAL,35_40,0.6504,0.07642223382045929,13,"CIN23: HR, 16, 18 Normal go together"
68,CIN23,SIXTEEN,NORMAL,40_45,1.311,0.7966847090663058,18,"CIN23: HR, 16, 18 Normal go together"
69,CIN23,SIXTEEN,NORMAL,45_50,0.851,0.07141959798994975,23,"CIN23: HR, 16, 18 Normal go together"
70,CIN23,SIXTEEN,NORMAL,50_55,0.9844,0.7822496440436639,28,"CIN23: HR, 16, 18 Normal go together"
71,CIN23,SIXTEEN,NORMAL,55+,0.6578,0.07018026275588148,33,"CIN23: HR, 16, 18 Normal go together"
72,CIN23,SIXTEEN,HIV,<25,1.32181,0.68905456059975,3,CIN23: HIV after non-HIV
73,CIN23,SIXTEEN,HIV,25_30,2.06885,0.13361624203821654,4,CIN23: HIV after non-HIV
74,CIN23,SIXTEEN,HIV,30_35,3.991,0.3788817377312953,9,CIN23: HIV after non-HIV
75,CIN23,SIXTEEN,HIV,35_40,2.1346,0.0620993920793248,14,CIN23: HIV after non-HIV
76,CIN23,SIXTEEN,HIV,40_45,2.9425,0.23269287760545293,19,CIN23: HIV after non-HIV
77,CIN23,SIXTEEN,HIV,45_50,4.3615,0.19587939105463992,24,CIN23: HIV after non-HIV
78,CIN23,SIXTEEN,HIV,50_55,3.927,0.1717901717675166,29,CIN23: HIV after non-HIV
79,CIN23,SIXTEEN,HIV,55+,4.3175,0.2217761796867304,34,CIN23: HIV after non-HIV
80,CIN23,EIGHTEEN,NORMAL,<25,0.224,1.1043661971830987,2,"CIN23: HR, 16, 18 Normal go together"
81,CIN23,EIGHTEEN,NORMAL,25_30,0.214,0.0272829417773238,3,"CIN23: HR, 16, 18 Normal go together"
82,CIN23,EIGHTEEN,NORMAL,30_35,0.3276,0.4753532182103611,8,"CIN23: HR, 16, 18 Normal go together"
83,CIN23,EIGHTEEN,NORMAL,35_40,0.2439,0.06623902768399731,13,"CIN23: HR, 16, 18 Normal go together"
84,CIN23,EIGHTEEN,NORMAL,40_45,0.3135,0.4131313131313131,18,"CIN23: HR, 16, 18 Normal go together"
85,CIN23,EIGHTEEN,NORMAL,45_50,0.2035,0.07119437939110071,23,"CIN23: HR, 16, 18 Normal go together"
86,CIN23,EIGHTEEN,NORMAL,50_55,0.2354,0.28090128755364807,28,"CIN23: HR, 16, 18 Normal go together"
87,CIN23,EIGHTEEN,NORMAL,55+,0.1573,0.08486932599724897,33,"CIN23: HR, 16, 18 Normal go together"
88,CIN23,EIGHTEEN,HIV,<25,0.6568,0.5258964143426295,3,CIN23: HIV after non-HIV
89,CIN23,EIGHTEEN,HIV,25_30,1.028,0.043245513554791906,4,CIN23: HIV after non-HIV
90,CIN23,EIGHTEEN,HIV,30_35,1.51965,0.1565081168831169,9,CIN23: HIV after non-HIV
91,CIN23,EIGHTEEN,HIV,35_40,0.81279,0.03765766338311619,14,CIN23: HIV after non-HIV
92,CIN23,EIGHTEEN,HIV,40_45,0.749,0.06395125080179603,19,CIN23: HIV after non-HIV
93,CIN23,EIGHTEEN,HIV,45_50,1.1102,0.07695989337210712,24,CIN23: HIV after non-HIV
94,CIN23,EIGHTEEN,HIV,50_55,0.9996,0.05569051580698836,29,CIN23: HIV after non-HIV
95,CIN23,EIGHTEEN,HIV,55+,1.099,0.06574074074074074,34,CIN23: HIV after non-HIV
96,CANCER,ALL,ALL,15_30,10.0,1.3901407549584135,5,Cancer comes after all others
97,CANCER,ALL,ALL,30_35,31.3,1.1087638401855482,10,Cancer comes after all others
98,CANCER,ALL,ALL,35_40,70.85,1.9398592595010036,15,Cancer comes after all others
99,CANCER,ALL,ALL,40_45,110.4,1.9435728104992325,20,Cancer comes after all others
100,CANCER,ALL,ALL,45_50,127.0,1.377793101903361,25,Cancer comes after all others
101,CANCER,ALL,ALL,50_55,139.0,1.5410271387491012,30,Cancer comes after all others
102,CANCER,ALL,ALL,55_60,147.8,1.3291700914525997,35,Cancer comes after all others
